"product.productId","product.title","product.price","review.userId","review.profileName","review.score","review.summary","review.text","word_scores","compound","pos","neu","neg","but_count","Num_Exclamations","Num_Characters","Num_Words"
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","ASL7LZAL2LBMS","Ohio Nurse ""bronwyn59""",5,"Lower leg comfort for 12 hours +","Excellent stockings for long shifts on your feet - not too tight, not too loose...garment integrity is longer than package states (with proper care).","{2.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.184, 0, 0, 0, 0, 0, 0, 0, 2.2}",0.692,0.229,0.698,0.073,0,0,149,24
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","A1ZJAH4V5W1OKP","jud doolittle ""Nana 3""",5,"One stop shopping","It is wonderful to find exactly what you are looking for. I didn't after three years using them I found they have them with a closed toes. I love them","{0, 0, 2.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2, 0}",0.836,0.22,0.78,0,0,0,150,30
"B00023DDSG","Jobst Ultrasheer 15-20 mmHg Pantyhose","50.00","ABY5HO9UBX91P","Dina L. Bruzek",2,"Also ran the first time I wore them","I put them on at the doctor's office and the first time I had to take them off, sure enough, ran them. Otherwise, liked them very much.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3, 0, 0, 0, 0, 1.8, 0, 0, 0}",0.625,0.169,0.831,0,0,0,135,27
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A175EHGHKN8GM4","Rainne P. Birdsong ""Rain""",5,"Best Product Ever!","I had a hard time producing enought milk. I used this once a day and saw a significant increase. I only used one bottle, but when it ran out my supply didn't go down.","{0, 0, 0, -0.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, 0.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.214,0.087,0.879,0.034,1,0,166,34
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A3ATEHXLYTGLV8","J. Brown",5,"Best Breastfeeding Supplement Out There!!!","I have been using More Milk Plus for three months now and started using it when my son was a couple of weeks old. My first son fussed while nursing causing me to be frustrated with it and pumping upon returning to work was stressful. I nursed him until he was a year and couldn't wait to be done with it. My three month old doesn't have a problem at all nursing, every three hours my breasts are full and ready to nurse, I pump every morning to store additional milk (I'm now up to 200 oz. in the freezer) and I take More Milk Plus three times a day. I will not stop taking the supplement for fear of my supply decreasing. Anyone out there looking for something to help, this is your answer. The taste is pretty bad but mixed with 1-2 oz of OJ make it bearable. An 8 oz supply lasts me about a month and a half.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.444, 0, 0, 0, 0, -1.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.85, 0, 0, 0, 0, 0, 0, 0, 1.1, -1.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.233,0.051,0.898,0.051,1,0,811,163
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A15Y7VR9L5VEXL","moira",3,"Use cautiously if you have thyroid problems","I used the capsule version of this product because I have had trouble producing enough milk for my twins. It seemed to work reasonably well, with a moderate increase in production (maybe an extra ~1.5oz/double pumping session). However, it had an unexpected effect on my thyroid as well!I am mildly hypothyroid and have been very stable on medication for several years. I had been taking this stuff for a couple of months when the time came for a routine check-up lab test. To my surprise, that test revealed that I was mildly _hyper_-thyroid. I attributed it to general hormonal issues with pregnancy, post-partum, nursing, etc. because I couldn't find any information linking any of the ingredients to thyroid function. But my endocrinologist insisted that herbal preparations can have unpredictable effects, so I went off the stuff. Six weeks later all my lab tests were normal again.I don't want to be too critical of this product because I think it actually helps a little, but I really want to note this effect. Please remember that I am simply reporting my personal experiences and not the results of a scientific study, but if you know that you have thyroid issues you might want to have some extra testing done if you choose to use this product.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.55, 0, 0, 0, 0.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.333, 0, 0, 0, -1.95, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 0, 0, 0, 0, 0, 0.8895, 0, 0, 0, 0, 1.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.81,0.073,0.9,0.027,3,1,1254,219
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","AYG7JLJAICA6L","Olivia Larson",5,"Worked for me!","I started taking this after my baby started losing weight. I had nursed my other 3 children before her, the first two being twins, and not had any problems producing enough milk. I'm not sure what the problem was this time, but after using this for 2 weeks, her weight increased by nearly 2 pounds. The taste is absolutely horrid, but I found that taking it in apple juice made it much better than taking it in milk or water. And I never even took as much as I could per day- I generally used 1-2 doses instead of the 3 it suggested. I also talked to a good friend of mine who is a lactation consultant, and she said that fenugreek is more effective when taken with blessed thistle, and that it is absolutely safe to take for as long as needed.","{0, 0, 0, 0, 0, 0, 0, 0, -0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.629, 0, 0, 0, 0, 0, -0.481, 0, 0, -0.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65, 0, 0, 0, 0, 0, 0, 0, 0, -4.1895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85, 3.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5895, 0, 0, 0, 4.35, 0, 0, 0, 0, 0, 0, 3.2895, 0, 0, 0, 0, 0, 0, 0}",0.973,0.178,0.762,0.06,2,0,744,144
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A10M0QUGADCK2Z","jjinla",5,"Awesome stuff - a must buy","After struggling to keep up with my 5 month old (baby #3) I was up to giving her at least 10 oz. of formula a day because I just didn't produce like I did for the other 2.I was up to 9 Domperidones and 9 fenugreek + about 4+ blessed thistle a day and STILL had supply issues. And, I smelled like an Indian grocery store and had constant heartburn from the pills getting stuck in my chest.I tried the nursing tea in the past and it helped a bit, but tasted like dirt, was inconvenient and to be honest I think 50% of its effectiveness comes from making sure that you are properly hydrated because you are constantly drinking it!Anyway, fast forward, I finally broke down and bought the MMP liquid. Yes, it's expensive and yes it's inconvenient to take 20 minutes before or after water, but it totally works. My supply after the 1st day was up at least 40%. Even my mom, when she saw the bottles I had pumped asked ""whoa, what did you do??""To me, it's worth the price, even if it is kind of nasty tasting.","{0, -0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25, -2.1, 0, -2.1, 0, 0, 0, 3.45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.7, 0, 0, 0, 0, 0, 0, 2.55, 0, 0, 0, 2.55, 0, -2.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35, 0, 0, 0, 0, 0, 0, 0, 0, -3.4605, 0}",0.641,0.119,0.781,0.1,2,1,1003,194
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A1RYTXOJ9O3PPB","D. Zazueta ""new mom""",4,"More for your buck","Having a milk supply problem, my lactation consultant advised to start using More Milk Plus. In my area, I was only able to find it in 2 oz bottles for $20. The 8 oz is a much better deal. Although, I am still having to supplement with formula, I have had a measured increase in my milk supply. My only complaints are it tastes really bad, you have to take it 4 times a day and you have to be consistent for it to work effectively. I would recommend More Milk Plus. It has made a big difference for me.","{0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, -2.793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.105,0.094,0.825,0.082,0,0,502,100
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A1PMV0CT0GCAM6","K. Hall ""Mama to many papoose!""",5,"Works Great!","Item works as promised! I was a big skeptic- but it worked quickly within 24 hours to increase my low supply. I mix mine with a little bit of orange juice or lemonade and it covers up the nasty taste perfectly. I take it 3 times per day and will continue till my baby weans herself. I highly recommend this!!","{0, 0, 0, 0.75, 0, 0, 0, 0, -0.45, 0, 0, 0, 0, 0, 0, 0, 0, 1.95, 0, -1.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.9, 0, 4.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6895, 0}",0.794,0.195,0.688,0.117,1,3,308,60
