"product.productId","product.title","product.price","review.userId","review.profileName","review.helpfulness","review.score","review.time","review.summary","review.text"
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","ASL7LZAL2LBMS","Ohio Nurse ""bronwyn59""","13/13","5.0","1157241600","Lower leg comfort for 12 hours +","Excellent stockings for long shifts on your feet - not too tight, not too loose...garment integrity is longer than package states (with proper care)."
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","A21F8C1MDLQDTH","S. Lawson","14/15","5.0","1110326400","Fashionable Compression Stockings!","After I had a DVT my doctor required me to wear compression stockings. I wore ugly white TED hose and yucky thick brown stockings. Then I found Jobst UltraSheer. They gave me the compression I needed (15-20,) but looked like regular pantyhose. Even though my blood clot has been gone for 4 years, I still buy these to wear as support stockings because they make my legs feel so nice.**Note, I have problems with the rubberized tops rolling down my thigh. I tried the Jobst adhesive, but I hated having my skin pulled all day. I bought an inexpensive garter belt and it works fine and helps keep the stockings from rolling."
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","A3J4K29TNC7RV1","Karen W. ""Karen W.""","13/14","5.0","1173312000","Sheer Relief!","My doctor recommended the thigh high version of this product, but I became very aggravated with them constantly rolling down through the course of the day. They were never comfortable. With my doctor's permission, I switched over to the knee highs, and they are WONDERFUL!!! I don't even know I'm wearing them! They totally control my calf aching and swelling. Would highly recommend them!!!"
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","A3GQAVM66FA88J","G. Alosa ""wifey""","6/6","5.0","1204416000","No more uncomfortable flights","Stockings fit well and are comfortable. Haven't had the opportunity to see how effective they are in preventing edema from air travel."
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","A1BTRWL1E3T2YB","A. S. Penuel","6/6","5.0","1184803200","Jobst UltraSheer Thigh High","Excellent product. However, they are very difficult to get on for older people. I feel like I've had a full day workout after getting them on. Also, as the day wears on, they begin to roll down from the top and create a very deep ridge in the skin. I have to wear them, so if those two difficulties could be addressed it would be such a help."
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","A17KXW1PCUAIIN","Mark Anthony ""Mark""","4/4","5.0","1174435200","Jobst UltraSheer Knee High Stockings","Does a very good job of relieving fatigue. This is a well known brand and is certainly comfortable enough to wear all day. Even if your doctor didn't prescribe these but you are on your feet alot, take care of yourself and buy these."
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","A9Q3932GX4FX8","Trina Wehle","1/1","3.0","1352505600","Delivery was very long wait.....","It took almost 3 weeks to recieve the two pairs of stockings I ordered and when they arrived they were not in a box nor did they have any tags on them so I am not certain they are actually Jobst brand stockings. The Sun Bronze pair fits okay but quality is less than the pair I bought at an actual compression store."
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","AUIZ1GNBTG5OB","dgodoy","1/1","2.0","1287014400","sizes recomended in the size chart are not real","sizes are much smaller than what is recomended in the chart. I tried to put it and sheer it!. I guess you should not buy this item in the internet..it is better to go to the store and check it"
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","A15J55UWZ8JLJM","Stephen Molsee ""AMF missionary""","2/3","1.0","1206748800","mens ultrasheer","This model may be ok for sedentary types, but I'm active and get around alot in my job - consistently found these stockings rolled up down by my ankles! Not Good!! Solution: go with the standard compression stocking, 20-30, stock #114622. Excellent support, stays up and gives me what I need. Both pair of these also tore as I struggled to pull them up all the time. Good riddance/bad investment!"
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","A1ZJAH4V5W1OKP","jud doolittle ""Nana 3""","0/0","5.0","1359936000","One stop shopping","It is wonderful to find exactly what you are looking for. I didn't after three years using them I found they have them with a closed toes. I love them"
