"product.productId","product.title","product.price","review.userId","review.profileName","review.score","review.summary","review.text","word_scores","compound","pos","neu","neg","but_count","Num_Exclamations","Num_Characters","Num_Words"
"B000278ADA","Jobst Ultrasheer 15-20 Knee-High Silky Beige Large","46.34","ASL7LZAL2LBMS","Ohio Nurse ""bronwyn59""",5,"Lower leg comfort for 12 hours +","Excellent stockings for long shifts on your feet - not too tight, not too loose...garment integrity is longer than package states (with proper care).","{2.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.184, 0, 0, 0, 0, 0, 0, 0, 2.2}",0.692,0.229,0.698,0.073,0,0,149,24
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A3ATEHXLYTGLV8","J. Brown",5,"Best Breastfeeding Supplement Out There!!!","I have been using More Milk Plus for three months now and started using it when my son was a couple of weeks old. My first son fussed while nursing causing me to be frustrated with it and pumping upon returning to work was stressful. I nursed him until he was a year and couldn't wait to be done with it. My three month old doesn't have a problem at all nursing, every three hours my breasts are full and ready to nurse, I pump every morning to store additional milk (I'm now up to 200 oz. in the freezer) and I take More Milk Plus three times a day. I will not stop taking the supplement for fear of my supply decreasing. Anyone out there looking for something to help, this is your answer. The taste is pretty bad but mixed with 1-2 oz of OJ make it bearable. An 8 oz supply lasts me about a month and a half.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.444, 0, 0, 0, 0, -1.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.85, 0, 0, 0, 0, 0, 0, 0, 1.1, -1.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.233,0.051,0.898,0.051,1,0,811,163
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A15Y7VR9L5VEXL","moira",3,"Use cautiously if you have thyroid problems","I used the capsule version of this product because I have had trouble producing enough milk for my twins. It seemed to work reasonably well, with a moderate increase in production (maybe an extra ~1.5oz/double pumping session). However, it had an unexpected effect on my thyroid as well!I am mildly hypothyroid and have been very stable on medication for several years. I had been taking this stuff for a couple of months when the time came for a routine check-up lab test. To my surprise, that test revealed that I was mildly _hyper_-thyroid. I attributed it to general hormonal issues with pregnancy, post-partum, nursing, etc. because I couldn't find any information linking any of the ingredients to thyroid function. But my endocrinologist insisted that herbal preparations can have unpredictable effects, so I went off the stuff. Six weeks later all my lab tests were normal again.I don't want to be too critical of this product because I think it actually helps a little, but I really want to note this effect. Please remember that I am simply reporting my personal experiences and not the results of a scientific study, but if you know that you have thyroid issues you might want to have some extra testing done if you choose to use this product.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.55, 0, 0, 0, 0.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.333, 0, 0, 0, -1.95, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 0, 0, 0, 0, 0, 0.8895, 0, 0, 0, 0, 1.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.81,0.073,0.9,0.027,3,1,1254,219
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A1RYTXOJ9O3PPB","D. Zazueta ""new mom""",4,"More for your buck","Having a milk supply problem, my lactation consultant advised to start using More Milk Plus. In my area, I was only able to find it in 2 oz bottles for $20. The 8 oz is a much better deal. Although, I am still having to supplement with formula, I have had a measured increase in my milk supply. My only complaints are it tastes really bad, you have to take it 4 times a day and you have to be consistent for it to work effectively. I would recommend More Milk Plus. It has made a big difference for me.","{0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, -2.793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.105,0.094,0.825,0.082,0,0,502,100
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A3AI6N9P5U26SY","C. C. Bailey",3,"This is More Milk, NOT More Milk Plus!","Title and image say ""More Milk Plus""; this is ""More Milk"". Difference is that MMP has fenugreek in it and this doesn't. I found out the issue when I received it; fortunately it works out for me as my baby may be allergic to fenugreek (we're still tracking the source of the reaction down.) Not sure how it works yet, but I'm a bit miffed at getting something that wasn't what I thought I ordered.Doesn't taste particularly nice, but tinctures generally don't; just squirt it down the back of your tongue or add it to 1-2oz of water or juice and it helps.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.32323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4}",-0.251,0.031,0.91,0.059,2,0,554,104
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A2KWLG77KE528K","Jessica Jacobs ""mylifeinpink""",1,"snake oil","ugh. when i bought this it was around $30.00, and 4 ounces ain't much when you are taking it three times a day. i am really not a believer in any sort of ""holistic medicine"". i draw the line at lavender oil during a massage smelling nice and that somehow helps you to relax, so needless to say i was not convinced this was going to help increase my supply, but out of desperation tried it anyway. i took it 3 times a day, waited to have anything to drink 20 mins before and 20 mins after until the entire bottle was gone. the only effect it had on me was making me smell like i had just spent three hours stocking shelves at an indian grocery store. i have learned so much more about lactation now. what actually works is more nursing, nursing as much as possible, tying you and baby to the couch and offering the nipple all day long. pumping after feeding helped a little, but increasing my nursing helped more. eventually, i finally had to start ordering domperidone online from canada, which is an actual legit medication and that did increase my supply. apparently it works for some of you, but i'd like to see some actual scientific studies on this stuff. mama's, give yourself time to build your supply, nurse, nurse, nurse. co-sleep and night nurse, don't bottle feed when in public- be brave and just do it, nurse! if all else fails domperidone has been proven scientifically to produce more milk. annnnd don't get me started on those stupid ""lactation cookies"" recipes that keep floating around. you have enough work with a newborn, keep it simple and keep the baby at the breast.","{-0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9, 0, 0, 0, 0.8, 0, 0, 0.95, 0, 0, 0, 0, 0, 0, 0, -0.629, 0, 0, 0, 0, 0.85, 0.65, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6, 0, 0, 0, 0, 0, 0, 0, 0, -2.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.687,0.075,0.875,0.05,3,1,1589,290
"B000IK6ECK","Motherlove: More Milk Plus Liquid","99.95","A3L0A0CLDWNTUH","Anonomous",2,"Tasted awful and did not really work for me","I was referred to this product by a lactation consultant who swore by it. I had gone back to work a few weeks prior and my supply was dwindling severly due to the pump not being nearly as efficient as my little man. I began taking far more than the recommended dose of the More Milk Plus, in an effort to really up my supply. The product tasted really nasty, even when mixed with a strong tasting drink and I did not see any major difference in my supply.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.893, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.506,0.084,0.876,0.04,0,0,455,89
"B000O2PYHI","Supersmile Professional Whitening System Small","35.95","A2BIR7OXEQFKU4","Ellen M. Gilbert",4,"Good product.","I chose this product because of the TV advertisement. It does seem to whiten teeth just like it claims. I like the fact that it is not abrasive and will not damage the enamel, even when used every day. The only downside is that it is a little pricey and I'm not sure I could afford to continue using it twice a day, every day as suggested.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.628, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.962, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.567,0.104,0.843,0.054,0,0,339,67
"B000162FS8","Small Mitt","44.00","AAKGP9TT1754Z","A. Stevens",5,"Great Mitt!","The small mitt is great and came right away. It is definitely small, so if you have large hands, you need the large mitt. It is very comfortable and stays warm for a good amount of time. I use it with a parrafin bath and it really makes my hands feel better.","{0, 0, 0, 0, 3.1, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.593, 0, 0, 0.9, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9}",0.952,0.282,0.718,0,0,0,258,52
"B000162FS8","Small Mitt","44.00","A281NPSIMI1C2R","Rebecca of Amazon ""The Rebecca Review""",5,"Calming and Aromatic","Heat these in the microwave and have them set out where you are going to sit watching TV while you moisturize your hands after a paraffin dip.After dipping your hands, you can then place them in a plastic liner or plastic bags work well too. Then, place your hands into these mitts.Your moisturizing results will double when you continue to heat the paraffin on your hands. Spas tend to use electrically heated mitts, but these don't need to be plugged in and are also calming and aromatic because of the herbal mixture inside the gloves.~The Rebecca Review","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.625,0.051,0.949,0,1,0,557,98
